country_,locality_,avgYield
Ethiopia,Bako,4369.157
Ethiopia,Hawassa,3892.532
Ethiopia,Melkassa,3580.311
Ethiopia,Pawe,1295.7643
Kenia,Kakamega-Bungoma-Bum,2935.5637
Kenia,Kakamega-Bungoma-Kan,2599.1191
Kenia,Kakamega-Siaya-Kar,1620.8291
Kenia,Kakamega-Siaya-Lig,2676.311
Kenia,Kyeni,3873.1384
Kenia,Mariani,2094.9858
Kenia,Mweru,3156.409
Kenia,Mworoga,2010.9214
Malawi,Balaka,1972.9545
Malawi,Kasungu,4463.1143
Malawi,Mchinji,2422.297
Malawi,Mitundu,4310.218
Malawi,Ntcheu,5049.418
Malawi,Salima,3415.315
Mocambique,Cabango,3578.2593
Mocambique,Canda sede cals,1346.1002
Mocambique,Casa sede,1436.6764
Mocambique,Chipole,2507.952
Mocambique,Kabango,3668.6858
Mocambique,Manica,1735.2439
Mocambique,Manica cals,1674.3414
Mocambique,Rotanda,2068.1428
Mocambique,Sussundenga,1765.219
Tanzania,Ilonga-Isanga,1877.0239
Tanzania,Ilonga-Makuyu,2572.272
Tanzania,Ilonga-Mandela,1619.2858
Tanzania,Ilonga-Milama,1440.2335
Tanzania,Ilonga-Msingisi,923.0311
Tanzania,Ilonga-Vitonga,1412.1967
Tanzania,Karatu - Bashay,801.61584
Tanzania,Karatu - Rhotia,940.73566
Tanzania,Mbulu- Bargish-Uwa,1176.7314
Tanzania,Mbulu-Masqaroda,901.8397
